id	name	dest_zone	dest_x	dest_y	dest_z	pos_x	pos_y	pos_z
40322	PAWDOOR1	NONE	0	0	0	44.0221	299.843	0.001003
36696	PAWDOOR1	NONE	0	0	0	44.0221	299.843	0.001003
40321	PAWDOOR1	NONE	0	0	0	71.7603	301.887	0.001038
36695	PAWDOOR1	NONE	0	0	0	71.7603	301.887	0.001038
40320	PAWDOOR1	NONE	0	0	0	61.8338	399.856	0.000971
36694	PAWDOOR1	NONE	0	0	0	61.8338	399.855	0.000971
40341	PAWDOOR1	NONE	0	0	0	-104.869	494.778	-63.9734
36715	PAWDOOR1	NONE	0	0	0	-104.869	494.778	-63.9734
40342	PAWDOOR1	NONE	0	0	0	-114.893	446.806	-47.9798
36716	PAWDOOR1	NONE	0	0	0	-114.893	446.806	-47.9798
40343	PAWDOOR1	NONE	0	0	0	-94.8945	396.848	-47.9798
36717	PAWDOOR1	NONE	0	0	0	-94.8945	396.848	-47.9798
40344	PAWPORTC	NONE	0	0	0	92.352	649.674	0.000954
36718	PAWPORTC	NONE	0	0	0	92.352	649.674	0.000954
40345	PAWDOOR1	NONE	0	0	0	-126.858	1271.42	0.000977
36719	PAWDOOR1	NONE	0	0	0	-126.858	1271.42	0.000977
40319	PENDU	NONE	0	0	0	-120.238	1277.3	21.501
36693	PENDU	NONE	0	0	0	-120.238	1277.3	21.501
40318	PAWDOOR1	NONE	0	0	0	-48.9816	1277.39	0.00108
36692	PAWDOOR1	NONE	0	0	0	-48.9816	1277.39	0.00108
40317	PENDU	NONE	0	0	0	-55.5077	1270.29	20.0009
36691	PENDU	NONE	0	0	0	-55.5077	1270.29	20.0009
40346	PLEVER	NONE	0	0	0	-105.324	975.502	7.251
36720	PLEVER	NONE	0	0	0	-105.324	975.502	7.251
40347	PAWCELL	NONE	0	0	0	-185.985	871.097	-31.9862
36721	PAWCELL	NONE	0	0	0	-185.985	871.097	-31.9862
40348	PLEVER	NONE	0	0	0	-196.344	897.45	-25.4862
36722	PLEVER	NONE	0	0	0	-196.344	897.45	-25.4862
40349	PAWDOOR1	NONE	0	0	0	-302.811	591.781	0.000998
36723	PAWDOOR1	NONE	0	0	0	-302.811	591.781	0.000998
40350	PAWDOOR1	NONE	0	0	0	-319.857	622.707	0.00099
36724	PAWDOOR1	NONE	0	0	0	-319.857	622.707	0.00099
40351	PLEVER	NONE	0	0	0	-319.815	555.219	6.751
36725	PLEVER	NONE	0	0	0	-319.815	555.219	6.751
40352	PENDU	NONE	0	0	0	-312.996	615.726	17.751
36726	PENDU	NONE	0	0	0	-312.996	615.726	17.751
40353	PENDU	NONE	0	0	0	-308.915	615.918	18.001
36727	PENDU	NONE	0	0	0	-308.915	615.918	18.001
40316	PAWPORTC	NONE	0	0	0	-80.4834	1093.55	0.000819
36690	PAWPORTC	NONE	0	0	0	-80.4834	1093.55	0.000819
40315	PLEVER	NONE	0	0	0	226.967	549.99	15.247
36689	PLEVER	NONE	0	0	0	226.967	549.99	15.247
40314	PLEVER	NONE	0	0	0	224.865	420.744	15.997
36688	PLEVER	NONE	0	0	0	224.865	420.744	15.997
40313	PLEVER	NONE	0	0	0	226.249	419.313	15.997
36687	PLEVER	NONE	0	0	0	226.249	419.313	15.997
40312	PLEVER	NONE	0	0	0	217.176	532.719	15.997
36686	PLEVER	NONE	0	0	0	217.176	532.719	15.997
40311	PLEVER	NONE	0	0	0	216.598	534.782	15.997
36685	PLEVER	NONE	0	0	0	216.598	534.782	15.997
40335	PAWPORTC	NONE	0	0	0	98.2043	587.789	0.001
