Field	Type	Null	Key	Default	Extra
UNK014	int(11)	NO		0	
svcorruption	int(11)	NO		0	
skillmodmax	int(11)	NO		0	
UNK060	int(11)	NO		0	
augslot1unk2	int(11)	NO		0	
augslot2unk2	int(11)	NO		0	
augslot3unk2	int(11)	NO		0	
augslot4unk2	int(11)	NO		0	
augslot5unk2	int(11)	NO		0	
augslot6unk2	int(11)	NO		0	
UNK120	int(11)	NO		0	
UNK121	int(11)	NO		0	
questitemflag	int(11)	NO		0	
UNK132	text	YES		NULL	
clickunk5	int(11)	NO		0	
clickunk6	varchar(32)	NO			
clickunk7	int(11)	NO		0	
procunk1	int(11)	NO		0	
procunk2	int(11)	NO		0	
procunk3	int(11)	NO		0	
procunk4	int(11)	NO		0	
procunk6	varchar(32)	NO			
procunk7	int(11)	NO		0	
wornunk1	int(11)	NO		0	
wornunk2	int(11)	NO		0	
wornunk3	int(11)	NO		0	
wornunk4	int(11)	NO		0	
wornunk5	int(11)	NO		0	
wornunk6	varchar(32)	NO			
wornunk7	int(11)	NO		0	
focusunk1	int(11)	NO		0	
focusunk2	int(11)	NO		0	
focusunk3	int(11)	NO		0	
focusunk4	int(11)	NO		0	
focusunk5	int(11)	NO		0	
focusunk6	varchar(32)	NO			
focusunk7	int(11)	NO		0	
scrollunk1	int(11) unsigned	NO		0	
scrollunk2	int(11)	NO		0	
scrollunk3	int(11)	NO		0	
scrollunk4	int(11)	NO		0	
scrollunk5	int(11)	NO		0	
scrollunk6	varchar(32)	NO			
scrollunk7	int(11)	NO		0	
UNK193	int(11)	NO		0	
purity	int(11)	NO		0	
evoitem	int(11)	NO		0	
evoid	int(11)	NO		0	
evolvinglevel	int(11)	NO		0	
evomax	int(11)	NO		0	
clickname	varchar(64)	NO			
procname	varchar(64)	NO			
wornname	varchar(64)	NO			
focusname	varchar(64)	NO			
scrollname	varchar(64)	NO			
dsmitigation	smallint(6)	NO		0	
heroic_str	smallint(6)	NO		0	
heroic_int	smallint(6)	NO		0	
heroic_wis	smallint(6)	NO		0	
heroic_agi	smallint(6)	NO		0	
heroic_dex	smallint(6)	NO		0	
heroic_sta	smallint(6)	NO		0	
heroic_cha	smallint(6)	NO		0	
heroic_pr	smallint(6)	NO		0	
heroic_dr	smallint(6)	NO		0	
heroic_fr	smallint(6)	NO		0	
heroic_cr	smallint(6)	NO		0	
heroic_mr	smallint(6)	NO		0	
heroic_svcorrup	smallint(6)	NO		0	
healamt	smallint(6)	NO		0	
spelldmg	smallint(6)	NO		0	
clairvoyance	smallint(6)	NO		0	
backstabdmg	smallint(6)	NO		0	
created	varchar(64)	NO			
elitematerial	smallint(6)	NO		0	
ldonsellbackrate	smallint(6)	NO		0	
scriptfileid	mediumint(6)	NO		0	
expendablearrow	smallint(6)	NO		0	
powersourcecapacity	mediumint(7)	NO		0	
bardeffect	mediumint(6)	NO		0	
bardeffecttype	smallint(6)	NO		0	
bardlevel2	smallint(6)	NO		0	
bardlevel	smallint(6)	NO		0	
bardunk1	smallint(6)	NO		0	
bardunk2	smallint(6)	NO		0	
bardunk3	smallint(6)	NO		0	
bardunk4	smallint(6)	NO		0	
bardunk5	smallint(6)	NO		0	
bardname	varchar(64)	NO			
bardunk7	smallint(6)	NO		0	
UNK214	smallint(6)	NO		0	
subtype	int(11)	NO		0	
UNK220	int(11)	NO		0	
UNK221	int(11)	NO		0	
heirloom	int(11)	NO		0	
UNK223	int(11)	NO		0	
UNK224	int(11)	NO		0	
UNK225	int(11)	NO		0	
UNK226	int(11)	NO		0	
UNK227	int(11)	NO		0	
UNK228	int(11)	NO		0	
UNK229	int(11)	NO		0	
UNK230	int(11)	NO		0	
UNK231	int(11)	NO		0	
UNK232	int(11)	NO		0	
UNK233	int(11)	NO		0	
UNK234	int(11)	NO		0	
placeable	int(11)	NO		0	
UNK236	int(11)	NO		0	
UNK237	int(11)	NO		0	
UNK238	int(11)	NO		0	
UNK239	int(11)	NO		0	
UNK240	int(11)	NO		0	
UNK241	int(11)	NO		0	
epicitem	int(11)	NO		0	
